population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,100,High-income North America,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1313.1252248405299,1812.85797678539,935.58459563838
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,553.31452053612,1029.26837701051,280.72117607961
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,424.31742641339997,588.39164166997,297.40626909087
1,All Population,5,Prevalence,192,Southern Sub-Saharan Africa,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,715.55753632591,1316.90395377657,338.72744445923
1,All Population,5,Prevalence,192,Southern Sub-Saharan Africa,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1086.31858818262,1524.98659492517,771.52470008131
1,All Population,5,Prevalence,110,Dominica,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,564.77994679968,1018.74722754638,305.88606962984
1,All Population,5,Prevalence,110,Dominica,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,2348.75345677938,3252.00425510489,1701.9082756939301
1,All Population,5,Prevalence,435,South Sudan,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,875.91383060404,1714.4165561428601,423.56216296345997
1,All Population,5,Prevalence,435,South Sudan,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1482.8759386075,2078.4841552371004,1021.00067126115
1,All Population,5,Prevalence,367,Monaco,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,840.31042624598,1530.79376789788,477.87549296655
1,All Population,5,Prevalence,367,Monaco,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,714.05767770421,1006.03551900276,505.82843834992
1,All Population,5,Prevalence,154,Tunisia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,677.42948948794,1052.25476280447,404.72927393598
1,All Population,5,Prevalence,154,Tunisia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1019.28092084198,1365.0209547129,740.52891120128
1,All Population,5,Prevalence,105,Antigua and Barbuda,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,557.01963524982,1035.76745119209,301.05222249376
1,All Population,5,Prevalence,105,Antigua and Barbuda,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,2248.25085570038,3102.9778239747698,1626.8160186704802
1,All Population,5,Prevalence,6,China,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,469.43416686795,716.60153692774,299.00102770525
1,All Population,5,Prevalence,6,China,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1506.89209102156,2057.3002800458503,1082.2057201985701
1,All Population,5,Prevalence,205,Côte d'Ivoire,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,777.7068227549701,1454.65717560523,376.58632163575
1,All Population,5,Prevalence,205,Côte d'Ivoire,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1086.0243309448301,1492.09371072505,736.14886911472
1,All Population,5,Prevalence,560,Oregon,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,935.4520215898301,1633.50488568976,518.56551554523
1,All Population,5,Prevalence,560,Oregon,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,593.2047588284901,1030.12279135363,271.62311313564
1,All Population,5,Prevalence,200,Benin,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,771.9789744180199,1530.44029748763,363.79496592086997
1,All Population,5,Prevalence,200,Benin,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1081.89477944817,1501.35784523471,735.66796774894
1,All Population,5,Prevalence,157,Yemen,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,712.31128909647,1252.77862314068,395.96073508245
1,All Population,5,Prevalence,134,Tropical Latin America,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,521.72700309381,989.9260281101401,277.40740450491
1,All Population,5,Prevalence,180,Kenya,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1507.8018022629299,2108.65570953103,1023.6148263027101
1,All Population,5,Prevalence,41,Uzbekistan,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,601.74098673445,1065.78988923423,302.75745624411
1,All Population,5,Prevalence,41,Uzbekistan,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,574.62771446967,812.30651113278,388.7684410558
1,All Population,5,Prevalence,76,Belgium,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,749.43406902778,1318.35735591559,438.3547028946
1,All Population,5,Prevalence,76,Belgium,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,855.93895155858,1203.97058402744,604.09109732841
1,All Population,5,Prevalence,148,Morocco,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,669.98550980126,1025.66355226592,403.13463536328
1,All Population,5,Prevalence,148,Morocco,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,2019,1098.48226555066,1480.22588122059,799.44109569904
1,All Population,5,Prevalence,5,East Asia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,2019,470.42467672266,718.49802540229,299.28291530749004
